"","g__Bacteroides","g__Alistipes","g__Faecalibacterium","g__Prevotella"
"s1",0.732911140944601,0.189068889820648,0.0758524342319645,0.00216753500278691
"s2",0.939523618638538,0.0064713104466504,0.0530493480621751,0.000955722852636304
"s3",0.996509247835936,0.00236705852226755,0.00082564560608972,0.00029804803570721
"s4",0.975535815386508,0.00117861711692967,0.0229034862132471,0.000382081283315219
"s5",0.559084517977108,0.0560402126308901,0.238461418110614,0.146413851281387
"s6",0.674368938939066,0.177764831994635,0.146244775676185,0.00162145339011285
"s7",0.25041327034018,0.372849002285699,0.151080072891344,0.225657654482776
"s8",0.513547270312865,0.438770097219588,0.0464319141189728,0.00125071834857376
"s9",0.0773991708876638,0.0100982878247587,0.115144588502327,0.79735795278525
"s10",0.554319485532756,0.394541869822077,0.0508711730150182,0.000267471630149437
"s11",0.844356134915558,0.0622524148893157,0.0931012811184201,0.000290169076706573
"s12",0.615246003384195,0.301586114035214,0.0828876028838199,0.000280279696771259
"s13",0.626334398617711,0.219562663307267,0.153896339783094,0.000206598291927777
"s14",0.524717381407279,0.16847985984261,0.18268367238237,0.124119086367741
"s15",0.688766284110385,0.268759647447895,0.0415613989398151,0.00091266950190549
"s16",0.71814481926425,0.114379130322806,0.166844548630197,0.000631501782747053
"s17",0.466503477400313,0.39505417660896,0.125182659416513,0.0132596865742143
"s18",0.825644693492319,0.0904486175728828,0.0836041125485037,0.000302576386294429
"s19",0.792900358081888,0.107177651915515,0.0997057202870282,0.000216269715568377
"s20",0.365245200470545,0.117777174809721,0.0510452641091941,0.465932360610539
"s21",0.406403541015556,0.54305537552726,0.0498691030156513,0.000671980441533489
"s22",0.715709033071855,0.241188232513893,0.0367196824528945,0.00638305196135751
"s23",0.524717381407279,0.16847985984261,0.18268367238237,0.124119086367741
"s24",0.997722700162346,0.00126108317028902,0.000714027340303574,0.000302189327061757
"s25",0.255200740323587,0.0587927981177876,0.0360858267015743,0.649920634857051
"s26",0.728789485675151,0.179241102059645,0.0916577380340486,0.000311674231155583
"s27",0.858660890131206,0.000702958248293847,0.140334522663451,0.000301628957049252
"s28",0.619100893696575,0.233790764062808,0.146260968238277,0.00084737400234006
"s29",0.861128128501151,0.0942917504904275,0.0413274722026202,0.0032526488058016
"s30",0.749421225433355,0.157391993356539,0.0919423872765407,0.00124439393356559
"s31",0.58772590507431,0.319108145656109,0.09273796049313,0.000427988776451136
"s32",0.637764213899524,0.315247779180645,0.0459259183179028,0.00106208860192854
